,index,var_0,var_1,var_2,err_mean,ex_time,peak_mem_used
34,4617.0,6.0,18.0,12.0,15.493705529789583,219.50792169570923,5.269358
35,3128.0,11.0,5.0,36.0,7.069639485731599,296.42844247817993,7.328559
36,9795.0,19.0,22.0,41.0,30.63851524987201,267.5152096748352,7.328798
37,3979.0,25.0,11.0,52.0,15.3839378568164,225.21046614646912,7.328865
38,9924.0,42.0,44.0,7.0,8.556222562148333,196.2571051120758,3.87564
39,8317.0,18.0,52.0,12.0,15.49557272762022,236.1401534080505,5.274293
40,4393.0,37.0,10.0,44.0,13.99611662827569,226.56655740737915,7.310576
41,1287.0,33.0,15.0,38.0,20.92587618854872,216.4051141738892,7.328934
42,4355.0,34.0,48.0,25.0,33.50604735528719,223.8249213695526,7.324776
43,7013.0,20.0,16.0,20.0,22.26503991371735,225.57573127746585,7.273779
44,3885.0,22.0,8.0,20.0,11.206822672052954,224.0705840587616,7.27323
45,5749.0,49.0,29.0,39.0,40.33593214310308,216.94325375556943,7.328936
46,9169.0,21.0,24.0,26.0,33.09172908517412,234.59229373931885,7.309435
47,2407.0,44.0,6.0,10.0,8.399043503797289,345.10408449172974,4.698583
48,2013.0,44.0,50.0,16.0,21.026374483565597,226.34799146652225,6.431879
49,5153.0,18.0,12.0,49.0,16.770696316954545,217.6163322925568,7.312734
50,8551.0,50.0,28.0,42.0,38.944548006474974,266.5548412799835,7.328596
51,4376.0,41.0,26.0,14.0,18.25389675140871,223.88858294487,5.853933
52,8822.0,5.0,34.0,7.0,8.556222562148333,273.59723258018494,3.875641
53,4273.0,13.0,13.0,37.0,18.13929989639509,218.9955990314484,7.32874
54,5825.0,6.0,25.0,46.0,34.77431440545732,220.0937204360962,7.328781
55,6699.0,9.0,7.0,31.0,9.824279463791363,264.34278440475464,7.328941
56,7243.0,25.0,20.0,37.0,27.858483951819768,222.11650586128235,7.315424
57,449.0,7.0,52.0,8.0,9.941862414746264,200.0607657432556,4.138891
58,2227.0,5.0,4.0,24.0,5.710737980346641,265.4780523777008,7.307704
59,5756.0,31.0,10.0,15.0,13.981895491261366,216.56821727752688,6.13612
60,810.0,13.0,37.0,8.0,9.941862414746264,219.9328925609589,4.138891
61,4180.0,7.0,10.0,50.0,13.996116628273551,220.04162907600403,7.324559
62,9000.0,17.0,29.0,23.0,30.731605787734487,268.4177899360657,7.328334
63,5438.0,49.0,44.0,46.0,60.80871171990489,224.98207020759585,7.328852
64,7533.0,45.0,26.0,33.0,36.17024409381984,222.89695119857788,7.328604
65,6369.0,47.0,11.0,47.0,15.383937856811905,216.5232584476471,7.329267
66,8416.0,34.0,25.0,19.0,25.18955919966846,207.6148509979248,7.175225
67,1477.0,5.0,29.0,20.0,26.567191287155808,211.81526017189023,7.272455
68,1790.0,25.0,25.0,50.0,34.7743144831263,202.71324944496155,7.328804
69,2008.0,35.0,18.0,29.0,25.059753821306412,224.56151843070984,7.328915
70,682.0,23.0,49.0,10.0,12.714215270966688,199.2182056903839,4.706366
71,2816.0,10.0,26.0,23.0,30.673216179425932,199.4317889213562,7.328241
72,9431.0,24.0,10.0,12.0,13.68995406002506,254.0376002788544,5.274098
73,3774.0,18.0,51.0,11.0,14.105591999067054,224.87943840026853,4.986198
74,6495.0,23.0,46.0,11.0,14.105591999067054,217.33136010169983,4.969301
75,8878.0,38.0,18.0,34.0,25.059521821605717,279.924195766449,7.328963
76,7361.0,18.0,5.0,17.0,7.069652602865974,220.1259243488312,6.715302
77,8366.0,43.0,51.0,32.0,43.226249499348405,211.11295080184937,7.328806
78,7474.0,9.0,29.0,33.0,40.28510619713558,224.8054301738739,7.325112
79,46.0,23.0,37.0,40.0,51.292517702515184,362.59539127349854,7.328727
80,30.0,35.0,20.0,33.0,27.85852768833937,390.41542625427246,7.335201
81,8250.0,44.0,5.0,25.0,7.069639237807092,231.5510699748993,7.327982
82,6935.0,7.0,5.0,45.0,7.069639485731417,217.79865908622745,7.329384
83,1468.0,45.0,5.0,23.0,7.069639618187535,216.47405815124512,7.328454
84,1665.0,49.0,30.0,34.0,41.67434209404516,203.32393431663516,7.328691
85,1416.0,35.0,49.0,43.0,58.45255471602082,207.3705213069916,7.328878
86,6480.0,51.0,26.0,50.0,36.17090628359495,216.84575271606445,7.328671
