,index,var_0,var_1,var_2,err_mean,ex_time,peak_mem_used
1723,4786.0,29.0,29.0,12.0,15.49557272762022,22.19545578956604,5.27742
1724,8092.0,23.0,40.0,34.0,45.98278123053535,23.50408959388733,7.332109
1725,4602.0,25.0,4.0,51.0,5.710737705942245,23.292932510375977,7.322153
1726,8896.0,31.0,5.0,28.0,7.069639462558686,23.39964318275452,7.325643
1727,3454.0,10.0,19.0,37.0,26.462646945355143,23.56093049049377,7.331812
1728,3609.0,9.0,25.0,8.0,9.941862414746264,23.345595121383667,4.142008
1729,8157.0,46.0,49.0,32.0,43.226249499348405,23.8676815032959,7.331926
1730,8765.0,52.0,9.0,16.0,12.59051238741135,24.80418419837952,6.416515
1731,9677.0,30.0,9.0,39.0,12.58912025546062,23.721192836761475,7.331832
1732,7572.0,31.0,41.0,44.0,56.85537315717246,23.021355628967285,7.332392
1733,3909.0,4.0,15.0,16.0,20.280064064433372,23.656962156295776,6.428028
1734,4028.0,27.0,51.0,36.0,48.746682291053055,23.677009105682373,7.33156
1735,3931.0,42.0,26.0,30.0,36.11727226231457,23.467431783676147,7.33192
1736,2332.0,22.0,19.0,18.0,23.414760775922595,23.752021312713623,6.981477
1737,7302.0,49.0,15.0,49.0,20.925876166979453,22.90419363975525,7.332131
1738,2262.0,22.0,29.0,48.0,40.33575012230553,23.58360719680786,7.331639
1739,9260.0,13.0,43.0,16.0,21.026374483565597,23.143076181411743,6.430769
1740,5781.0,37.0,6.0,5.0,5.379849576086825,23.127671003341675,3.453655
1741,2595.0,21.0,19.0,47.0,26.462647773119038,23.544522285461422,7.331857
1742,7200.0,52.0,50.0,47.0,63.74367902448804,23.6175537109375,7.332301
1743,3593.0,20.0,45.0,15.0,19.640866867360007,22.227367162704468,6.144876
1744,5216.0,6.0,10.0,8.0,9.745025888395723,23.67253065109253,4.132107
1745,1030.0,25.0,20.0,4.0,4.46775561470342,22.533547401428223,3.36916
1746,7433.0,42.0,24.0,25.0,32.730297460975265,22.97553253173828,7.329246
1747,7877.0,27.0,38.0,31.0,41.824028682701766,22.8705689907074,7.327768
1748,8823.0,52.0,23.0,28.0,32.01114418469661,23.454842567443848,7.320839
1749,8236.0,37.0,9.0,19.0,12.589235412219486,23.42434930801392,7.178466
1750,5733.0,47.0,13.0,39.0,18.139299877991125,23.319043159484863,7.315629
1751,5378.0,13.0,16.0,44.0,22.313629724623624,23.701828241348267,7.331963
1752,7762.0,28.0,30.0,50.0,41.716129453530726,23.00628662109375,7.332144
1753,1755.0,52.0,11.0,37.0,15.38393785559858,24.20452451705933,7.319156
1754,7355.0,18.0,7.0,33.0,9.824279456063778,23.757997512817383,7.323838
1755,4161.0,28.0,23.0,27.0,31.969751981068672,22.97265911102295,7.331571
1756,231.0,23.0,9.0,36.0,12.58912025510392,23.048147439956665,7.331681
1757,8104.0,23.0,24.0,5.0,5.808655922779822,23.121763467788696,3.452354
1758,110.0,24.0,32.0,5.0,5.808655922779822,22.190608024597168,3.452352
1759,5457.0,47.0,17.0,28.0,23.68068299426784,22.782493829727173,7.331895
1760,6708.0,8.0,41.0,32.0,43.223370902695294,23.880534410476685,7.314325
1761,2514.0,27.0,25.0,4.0,4.46775561470342,22.908324480056763,3.36213
1762,5961.0,42.0,41.0,25.0,33.50604735528719,23.211257457733154,7.325075
1763,4279.0,23.0,22.0,39.0,30.638519469522542,23.977283239364624,7.332194
1764,4720.0,12.0,7.0,42.0,9.824279455264763,23.40448522567749,7.33208
1765,2917.0,28.0,20.0,27.0,27.85999812643477,22.822643280029297,7.33184
1766,9390.0,30.0,43.0,28.0,37.66753609113521,23.59040999412537,7.312843
1767,2992.0,47.0,4.0,50.0,5.7107377059422415,23.004061937332157,7.317824
1768,2317.0,5.0,6.0,30.0,8.443714406968915,23.38972949981689,7.332116
1769,4847.0,14.0,47.0,31.0,41.83122990311449,23.87694549560547,7.331999
1770,4292.0,14.0,18.0,24.0,25.058331113560406,23.4033043384552,7.330317
1771,6991.0,14.0,15.0,8.0,9.937952856834224,22.17391014099121,4.142088
1772,1515.0,28.0,7.0,10.0,9.691472005721437,23.05272126197815,4.703517
1773,216.0,21.0,24.0,35.0,33.385961292934766,22.97002124786377,7.328636
