,index,var_0,var_1,var_2,err_mean,ex_time,peak_mem_used
174,7334.0,29.0,36.0,20.0,26.56436269555849,26.92979502677917,11.284218
175,1557.0,26.0,38.0,15.0,19.640866867360007,30.55242681503296,10.148404
176,3739.0,47.0,47.0,50.0,64.99930555983008,27.210477113723755,11.338629
177,3522.0,25.0,17.0,33.0,23.68069121934728,27.08531641960144,11.340187
178,180.0,27.0,33.0,29.0,39.012312256683806,29.4914493560791,11.340805
179,2115.0,9.0,23.0,19.0,25.15102486881639,29.9050395488739,11.189998
180,1699.0,5.0,46.0,6.0,7.173350190832376,32.53940176963806,7.647192
181,1379.0,14.0,18.0,20.0,24.76921857031529,34.37380123138428,11.28775
182,7229.0,42.0,43.0,26.0,34.882681208935736,26.942543983459476,11.335679
183,9143.0,35.0,7.0,43.0,9.824279455266856,27.65407371520996,11.342843
184,618.0,14.0,46.0,42.0,57.02499569797725,30.820149898529053,11.343231
185,3181.0,12.0,12.0,31.0,16.770696383321376,26.97347354888916,11.341709
186,9851.0,47.0,10.0,39.0,13.996116628771988,27.32018065452576,11.335965
187,1600.0,5.0,13.0,4.0,4.467455454339009,33.927236795425415,7.379009
188,5963.0,38.0,26.0,30.0,36.11727226231457,27.04949641227722,11.342766
189,1615.0,37.0,8.0,30.0,11.206898548263336,33.26823353767395,11.343646
190,5920.0,44.0,30.0,33.0,41.58405518265283,27.09243512153625,11.341585
191,9591.0,45.0,19.0,21.0,26.17175495919692,26.98642373085022,11.333034
192,3891.0,24.0,31.0,18.0,23.80496361036097,26.896174669265747,10.991129
193,2083.0,50.0,26.0,39.0,36.17090202446423,29.34662699699402,11.34048
194,4574.0,18.0,23.0,43.0,32.024926522411484,27.489135026931763,11.343338
195,5594.0,30.0,28.0,49.0,38.9445524009664,27.18937373161316,11.342649
196,5121.0,51.0,39.0,15.0,19.640866867360007,27.085400342941284,10.151701
197,4587.0,6.0,19.0,17.0,22.234415539695256,27.28699421882629,10.728039
198,4902.0,37.0,35.0,20.0,26.56436269555849,27.031304121017456,11.283839
199,8252.0,32.0,19.0,45.0,26.462647769038345,27.142385244369507,11.342403
200,5916.0,52.0,44.0,44.0,59.84903414170719,27.11463165283203,11.34003
201,5129.0,37.0,15.0,29.0,20.92587522329819,26.818663835525516,11.3393
202,8334.0,28.0,14.0,49.0,19.549725581704987,27.012346267700195,11.337832
203,1918.0,13.0,16.0,9.0,11.330885600390568,35.20610737800598,8.426412
204,8330.0,6.0,25.0,7.0,8.556222562148333,26.85826849937439,7.889416
205,5707.0,9.0,18.0,49.0,25.05952143392249,26.990356922149655,11.342819
206,5384.0,17.0,50.0,28.0,37.66753609113521,27.284231424331665,11.339157
207,6336.0,31.0,4.0,31.0,5.710737706799303,27.379409074783325,11.342988
208,2054.0,17.0,7.0,48.0,9.824279455265508,29.396897554397583,11.341023
209,7612.0,31.0,41.0,44.0,56.85537315717246,27.185951471328732,11.34259
210,9209.0,42.0,30.0,34.0,41.67434209404516,27.22892689704895,11.343422
211,3963.0,21.0,18.0,49.0,25.05952143392249,27.226205348968502,11.343556
212,1126.0,46.0,45.0,25.0,33.50604735528719,34.48803496360779,11.342996
213,3428.0,22.0,31.0,32.0,42.41051560002065,27.267810583114624,11.34372
214,4601.0,23.0,9.0,11.0,12.293989368798533,26.77672576904297,8.991935
215,3721.0,52.0,25.0,51.0,34.77431448510426,27.404808282852173,11.343394
216,2389.0,44.0,32.0,27.0,36.25442382687197,30.21060037612915,11.338561
217,1322.0,37.0,32.0,46.0,44.49745313240048,30.58660578727722,11.337437
218,1603.0,20.0,29.0,38.0,40.33512480507312,34.20992469787598,11.34337
219,7224.0,42.0,39.0,21.0,27.96409071743339,27.26282477378845,11.32594
220,7425.0,17.0,10.0,46.0,13.996116628269398,27.26776003837585,11.339473
221,4336.0,44.0,44.0,7.0,8.556222562148333,26.628371953964237,7.890945
222,5593.0,15.0,17.0,31.0,23.680699314475515,27.56346893310547,11.342779
223,4411.0,33.0,9.0,39.0,12.58912025546062,27.549928665161133,11.340104
224,5858.0,9.0,17.0,19.0,23.36088086136674,27.25070714950561,11.190035
225,9343.0,16.0,37.0,10.0,12.714215270966688,26.966447114944454,8.705503
226,3991.0,36.0,49.0,29.0,39.05621870244247,27.20276379585266,11.335566
227,6079.0,34.0,7.0,21.0,9.824290183243914,27.156841039657596,11.332555
228,1559.0,4.0,37.0,36.0,48.364115206451466,30.655527114868164,11.338425
229,4682.0,25.0,4.0,35.0,5.710737705838045,26.72576594352722,11.342597
230,7557.0,22.0,43.0,7.0,8.556222562148333,26.832752466201782,7.888192
231,3772.0,41.0,29.0,4.0,4.46775561470342,26.68716335296631,7.373372
232,8779.0,22.0,45.0,35.0,47.36666181888963,27.204673051834103,11.341307
233,3457.0,20.0,10.0,15.0,13.981895491261366,26.894081354141235,10.155792
234,8383.0,48.0,37.0,16.0,21.026374483565597,27.106034517288208,10.442914
235,1354.0,17.0,43.0,39.0,52.85201649953432,33.79805064201355,11.341387
