var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
40,42,22,5,0.0005064242007053186,67.91553807,27.77307,36.302911
34,14,6,25,0.00884108909743404,68.5480206,19.887134,28.677369
52,51,25,9,4210000000.0,69.18293715,35.80365,44.065018
33,7,22,30,28900000000.0,69.25120807,39.315558,47.460659
8,8,31,11,292000000000.0,69.34412742,24.592117,33.228168
44,49,42,5,0.0005064242007053186,69.41231275,27.774308,36.30415
37,9,10,31,35100000000.0,69.84344149,28.726241,37.224842
42,29,20,20,231000.0,68.9352901,39.300264,47.445881
23,8,39,22,83400000.0,69.03076506,39.306319,47.451438
9,16,28,48,6800000000.0,66.93373275,26.705487,35.270452
22,52,46,19,8100.0,68.20133257,39.319312,47.464185
19,7,47,18,28800000000.0,69.65232444,39.284069,47.430045
27,6,21,16,253000000000.0,68.97958302,39.307424,47.452645
23,50,17,41,17600000.0,69.22839499,39.179362,47.329077
47,26,6,30,0.00884108909743404,70.61523533,19.901372,28.691591
46,9,43,40,953000000.0,69.18511319,39.30943,47.45435
31,18,21,23,8290.0,68.91003871,39.303523,47.448797
20,41,37,6,0.00015943325764414864,69.09940195,29.871644,38.33174
45,13,21,9,4210000000.0,69.20593071,35.816065,44.077433
6,50,19,44,0.00043549767485217866,69.39021492,19.793208,28.590168
18,21,14,47,1140000000.0,69.63914871,36.693884,44.926555
21,40,36,8,10500000000.0,69.61905932,33.861846,42.188916
10,36,40,31,17300000000.0,68.77494025,28.763125,37.259979
30,21,36,40,1030.0,68.77752733,39.31855,47.463693
20,44,49,36,1650.0,69.09814,39.300293,47.445958
39,23,12,15,2010000000.0,69.17400265,32.737836,41.102421
48,51,28,32,0.453,69.14215994,39.319184,47.464301
26,16,48,44,38700.0,69.19554687,39.319456,47.464503
31,10,33,22,397000000.0,69.28977323,39.318999,47.464054
29,37,21,6,0.00015943325764414864,69.33975053,29.88361,38.343705
50,34,47,17,92400.0,69.4953866,39.3211,47.466185
38,48,36,37,8.39e-06,69.53445077,39.319294,47.464208
50,24,48,33,0.0488,69.1363349,39.318745,47.463869
47,30,19,41,1100000.0,69.13605714,39.290993,47.436827
45,18,9,29,0.0001227534728125778,69.17932177,26.667497,35.233795
28,10,20,11,778000000.0,69.2948215,38.606636,46.775024
36,10,45,44,3970000000.0,69.66328788,39.318751,47.463953
38,19,15,4,0.0020840001060303103,69.08410454,25.823742,34.418865
18,14,24,35,510000.0,69.16512752,39.292087,47.438005
39,32,52,38,3.04e-05,69.48929977,39.305442,47.450566
9,39,15,37,7200000000.0,69.4985013,26.720059,35.284997
24,37,4,15,0.13174602727988283,69.53038621,12.771961,21.802484
30,21,49,36,1030.0,69.16224933,39.318611,47.46373
39,39,28,4,0.0020840001060303103,69.24224234,25.808828,34.403946
49,38,45,52,7.68e-09,69.68988085,39.299829,47.444903
15,30,47,7,42600000000.0,69.66839194,31.825016,40.219128
40,12,45,46,302000000.0,70.10242534,39.319637,47.464684
42,8,17,34,816000000.0,69.61026573,39.181744,47.331384
9,24,24,9,125000000000.0,69.77655172,26.695896,35.261472
26,4,47,17,0.0005876790521440252,69.50640941,39.307084,47.452111
34,20,4,14,0.13174602727988283,69.30752945,12.771936,21.802476
15,25,8,19,0.0004830896218867906,69.18379402,24.504589,33.143466
47,47,45,46,3.79e-10,69.71039248,39.318557,47.463771
28,27,26,43,6.65,69.8452723,39.302851,47.447922
41,22,37,10,15800000000.0,69.59288263,37.664171,45.863872
43,20,42,43,3330.0,69.55646253,39.318692,47.463771
17,34,15,30,291000000.0,69.26674199,38.113646,46.298701
36,33,7,44,0.001988476346544061,69.75147724,22.2078,30.922144
21,9,7,12,0.002111092813193886,69.63036966,22.200731,30.915131
31,44,47,49,0.00399,73.80802226,39.318618,47.463791
18,28,51,41,265000.0,71.25873685,39.291274,47.437124
34,4,52,4,0.0020840001060303103,71.32818532,25.814365,34.409482
9,43,7,49,0.0019972106455441495,68.99319744,22.207216,30.921433
38,26,47,38,0.388,68.34010291,39.319851,47.464806
13,36,31,40,265000000.0,71.37568951,34.718979,43.016712
49,38,5,34,0.0366085943611441,71.48386765,17.849559,26.709155
43,21,14,49,1140000000.0,71.55226111,36.694256,44.926961
46,6,41,20,25300000000.0,71.69830036,39.319425,47.464561
24,28,11,18,7220000000.0,72.48617101,30.746926,39.17745
12,8,6,8,0.010382454637136305,71.41049457,19.909436,28.69966
16,34,47,52,4260000.0,71.71230459,38.826087,46.987384
33,11,24,40,25900000.0,71.72606421,39.318015,47.463265
12,27,42,5,0.0005012262449828618,71.78013945,27.779857,36.309476
8,34,32,25,280000000000.0,70.31289816,24.599047,33.235043
23,35,37,32,25.4,72.64586902,39.312143,47.457312
22,11,14,38,91900000.0,71.71877789,36.689072,44.921692
43,43,43,39,4.85e-09,71.86352062,39.316202,47.461244
29,39,41,17,917.0,71.03695846,39.315851,47.460934
48,43,10,36,304000000000.0,73.45480585,28.735328,37.233559
16,6,49,51,253000000000.0,68.38802576,38.82549,46.986974
