var_0,var_1,var_2,var_3,var_4,var_5,var_6,error
44,41,7,33,37,13,42,1593685386.1441948
47,10,6,44,40,13,24,1593685877.931837
10,49,48,27,16,37,5,0.03670990152468933
21,51,41,18,25,5,14,0.9902522529609382
24,23,44,43,6,27,47,39644.75213446575
39,16,30,4,47,24,39,0.00011561717884885353
6,48,4,19,52,4,47,0.999949917313088
13,34,29,42,36,37,42,5.386903461398179e-08
4,44,14,28,3,19,7,1616719342.9973602
17,23,36,46,8,42,36,39611.46117760153
40,43,18,43,39,51,50,3.346392988677517e-11
6,45,42,52,32,38,52,0.990163491039716
10,34,31,34,14,49,46,0.03670990152468933
22,11,6,19,43,36,27,1593686546.7216544
20,33,27,9,11,27,21,0.19864010430933074
9,13,13,11,19,48,19,0.19864010430933074
27,35,3,11,37,24,39,0.999953070305284
22,35,8,50,18,13,34,1593685227.758539
40,16,45,49,22,17,23,1.3692999074531123e-10
39,16,52,44,33,21,13,1.9071421063846688e-07
12,5,47,33,6,37,34,39625.413271095655
28,22,44,16,19,24,42,1.3216489220826046e-11
6,44,3,38,21,21,46,0.999949917313088
45,5,39,7,25,5,5,0.9901438501665731
17,30,6,43,52,14,48,1593664173.0436227
36,3,5,7,27,23,30,0.9902530589861412
28,10,48,22,31,33,50,6.10378553516441e-14
15,10,11,19,52,30,14,7.761543287069355e-07
48,18,38,22,36,23,38,3.9204216890627216e-14
13,3,24,20,43,37,33,5.3232739024449166e-08
45,41,50,14,44,43,32,1.334640723776924e-10
48,47,18,41,25,25,10,1.1293306383452202e-05
14,41,46,7,26,29,44,1.486219201145758e-06
20,52,42,33,4,32,26,1597183486.4226978
47,38,8,45,12,41,38,1593685386.143489
52,48,8,20,27,21,43,1593685664.8758476
12,34,36,24,44,19,45,1.7954502565705671e-07
11,16,30,19,15,4,51,0.999953070305284
20,44,20,36,46,49,42,9.14606102291845e-12
26,12,4,5,27,44,3,0.9999499015757313
12,39,8,5,48,35,27,1597607037.655079
21,21,10,12,33,52,15,2.3325114438545807e-06
46,25,7,24,43,44,35,1593685412.472693
44,19,49,27,5,40,25,1591663329.02683
35,51,36,45,11,42,46,4.7292271282035615e-08
43,11,20,51,44,34,52,2.178430910634064e-12
15,32,31,36,5,41,15,1591758274.5669746
37,45,37,38,20,15,20,2.3132850782040986e-09
38,34,35,25,38,5,37,0.990251268143118
23,24,10,10,13,18,26,0.03670990152468933
10,14,10,37,26,49,5,0.03670990152468933
8,17,14,30,6,7,51,1575965489.8496947
49,14,48,39,40,16,48,5.305533361090195e-10
10,4,51,12,11,21,35,0.03670990152468933
15,32,31,43,41,45,20,3.1487300321443637e-09
42,9,41,44,13,44,11,3.17615524958304e-06
22,29,38,36,15,29,28,8.442680230030445e-10
25,47,9,16,49,41,41,39636.46623381219
18,8,36,33,8,24,21,39610.9660453398
42,33,11,24,23,12,38,39597.84841094283
52,16,36,19,10,9,11,39603.04753590223
21,24,21,11,44,8,46,1593727943.0631015
12,22,19,17,34,20,12,7.546207369087343e-07
6,32,22,26,8,35,46,0.990163491039716
16,34,43,38,24,36,24,8.617946911801339e-10
12,22,3,39,14,40,7,0.9999498509798341
41,44,49,27,49,18,46,3.4030792299302014e-11
47,46,16,28,45,13,24,3.522958986845801e-08
14,27,5,12,19,5,48,0.9902507029781046
18,16,11,13,52,37,26,5.563787936782405e-07
41,14,35,9,25,26,28,0.19864010430933074
35,27,51,41,22,27,13,1.907130733578278e-07
16,28,35,4,28,35,33,0.00011561717884885353
41,51,45,28,52,5,45,0.9902512681407415
17,25,48,17,44,24,42,2.1236141459014992e-10
35,13,16,10,10,10,6,0.03670990152468933
45,35,35,42,38,34,24,4.416184900429359e-14
3,42,51,25,42,8,43,2575830090.624302
45,24,44,3,48,42,22,0.014933678843148003
18,42,33,14,47,31,39,2.45362879876916e-10
15,37,50,36,24,28,37,3.300147986224655e-09
34,37,9,3,38,40,37,40267.88942235662
17,47,6,5,12,22,5,1586001215.2640398
18,6,10,17,51,18,7,0.0006431851537770776
32,17,49,3,40,49,34,0.014933678843148003
4,34,26,31,31,38,19,1571694864.6934013
7,46,14,15,4,23,48,1578375437.6040728
32,22,17,28,9,29,43,2.8180971082789113e-07
41,32,24,32,46,32,25,2.6133667471367758e-14
18,30,11,14,52,20,16,5.858418989385124e-07
6,7,43,28,3,4,28,0.999949917313088
10,48,29,25,6,52,4,1574648628.95011
10,4,9,10,40,33,36,39710.19345405157
32,48,44,33,45,40,45,2.001829720834603e-19
8,46,21,6,13,14,34,0.00010988270311218327
23,7,15,15,31,7,31,1593693937.5536528
10,44,51,52,30,7,45,1597009215.0896218
11,45,10,29,10,37,3,0.19633905367635063
9,38,36,22,11,3,27,0.999970700330551
4,9,45,31,10,47,38,1571694864.6934013
17,26,13,28,10,36,20,1.9446911435993697e-07
27,15,9,41,41,37,44,39636.465667297234
21,14,39,43,38,18,43,4.14930467093183e-11
14,11,31,11,27,46,12,0.007709822839687313
41,11,33,38,5,42,30,1591663260.288693
25,52,40,35,31,28,11,2.4697627689728886e-06
49,14,5,18,38,7,25,1447238468.896691
26,21,13,50,10,16,44,2.1208993626237427e-07
32,22,48,4,27,42,7,0.0008861052228455684
10,3,20,20,14,45,43,0.03670990152468933
5,36,9,52,30,27,8,41462.07794648659
