var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
15,3,48,9,45,33,24,0.0,76.07741236686707,11.998996,24.078288
51,15,6,21,7,46,7,3.440146713692579e+57,97.08003950119019,47.246292,59.630896
24,23,16,18,38,13,35,1.9026510170782272e+58,98.70949268341064,49.207474,61.722725
18,3,19,15,15,24,32,0.0,75.84749221801758,11.993859,24.073063
26,9,11,7,48,39,11,0.0,75.82612323760986,11.997589,24.076881
42,33,47,33,41,49,28,1.901652371664637e+58,97.85589289665222,48.633234,61.167469
18,24,24,12,30,38,49,1.8645448094712786e+58,97.06951951980591,49.203481,61.718732
46,17,3,8,38,49,4,0.0,76.48040676116943,11.998964,24.078256
42,49,25,32,7,8,28,1.8949599771066458e+58,96.98080897331238,49.211056,61.726307
15,13,24,43,16,16,35,1.9021511479625214e+58,97.4429841041565,49.203085,61.718304
25,4,40,39,47,21,16,1.7449835183582185e+58,96.59759402275085,49.210649,61.7259
32,24,49,52,41,30,23,1.9016526156667402e+58,97.33257961273193,49.065626,61.586541
40,45,33,14,39,39,20,1.9110618697992984e+58,96.76850962638855,47.253595,59.834126
44,42,5,22,23,6,12,9.1948117951997e+56,98.37023735046387,49.207147,61.52656
25,11,34,20,33,52,22,0.0,76.25421023368835,11.998199,24.077491
17,9,39,9,8,27,18,0.0,75.48825669288635,11.997108,24.0764
8,12,24,49,43,16,51,1.9118376992320077e+58,96.72229385375977,47.250994,59.831525
36,36,3,35,12,10,10,0.0,76.47679138183594,11.998558,24.07785
32,35,48,6,47,13,17,1.4675300717854424e+57,97.12036538124084,47.253595,59.638287
22,13,41,19,36,5,52,2.0546885860590746e+58,97.27659702301025,49.20965,61.724901
46,19,19,36,8,20,22,1.895204043998088e+58,98.28196096420288,48.75148,61.278663
19,10,14,48,36,18,24,0.0,76.09444117546082,11.99791,24.077202
23,29,37,22,8,27,35,1.8949959208849057e+58,97.8120527267456,49.205909,61.72116
16,27,8,49,49,25,35,1.6382812143807826e+58,97.74954032897949,49.211482,61.726733
41,9,18,14,42,30,6,0.0,75.95001792907715,12.001157,24.080449
21,11,11,45,5,22,50,0.0,75.98536252975464,11.997621,24.076913
19,51,39,34,7,35,19,1.8949828450228626e+58,96.9117660522461,49.209969,61.72522
10,24,7,37,49,25,22,0.0,76.58516073226929,11.998198,24.07749
35,44,6,12,25,19,16,3.43656916469418e+57,98.3154616355896,47.251859,59.636551
52,39,29,50,34,43,8,1.9136408956606896e+58,99.60767722129822,48.619331,61.153748
15,26,3,8,47,38,4,0.0,77.42131996154785,11.992761,24.072053
38,26,21,42,5,32,32,2.054456547837206e+58,98.83585166931152,48.631594,61.166045
5,34,45,15,30,15,16,1.797724337937167e+58,98.55329203605652,47.253594,59.834125
9,40,9,31,31,30,49,0.0,76.84896659851074,11.998996,24.078288
50,34,18,15,25,15,18,1.8975103417668703e+58,98.58969163894653,47.248277,59.828808
6,31,49,27,15,39,42,1.9284262349555581e+58,97.66142654418945,49.206074,61.721325
23,50,26,31,8,4,45,1.7449356204231157e+58,97.48950386047363,49.198779,61.71403
15,21,26,26,40,31,8,1.9135192031400577e+58,97.16357326507568,47.251858,59.832389
6,21,37,43,14,52,35,1.9284262349555581e+58,96.94827175140381,49.209969,61.72522
31,37,17,34,37,38,29,1.9016493956338413e+58,99.15812873840332,49.174366,61.689617
32,35,42,18,32,14,27,1.9024252616035246e+58,99.50378918647766,49.209426,61.724677
28,18,28,43,51,28,52,1.9016524253314446e+58,97.45102548599243,48.66479,61.197695
42,17,51,16,47,29,49,1.8996366743401254e+58,98.4786536693573,47.245995,59.826526
33,25,33,6,52,34,32,1.4675300717854424e+57,97.32610392570496,47.249213,59.633905
26,48,44,37,22,36,38,1.901652271932508e+58,97.72344136238098,48.689117,61.222108
8,50,51,38,38,48,52,1.9118376992320077e+58,96.85635471343994,47.245648,59.826179
25,3,19,46,37,33,17,0.0,75.76860094070435,12.00051,24.079802
18,41,39,31,43,7,28,1.8949828450228626e+58,96.24343585968018,49.209001,61.724252
4,28,6,18,5,12,19,3.301942661517246e+57,95.82431888580322,47.247641,59.632333
10,51,17,24,46,31,20,0.0,76.39161276817322,11.993726,24.073018
37,21,8,46,33,52,24,1.6384031297144084e+58,96.90240025520325,48.649513,61.183554
15,44,21,24,17,13,21,1.901492544759214e+58,97.07022833824158,49.188209,61.70346
21,39,31,52,35,7,50,1.894960716743716e+58,96.8203616142273,49.205453,61.720704
23,14,34,34,49,42,34,1.902222697780224e+58,96.64091610908508,49.211058,61.726309
50,34,25,46,36,18,52,1.9016537264675468e+58,99.73158669471741,48.62423,61.158875
26,29,8,29,47,18,35,1.6384029059649513e+58,96.50678753852844,49.20917,61.724421
45,52,36,43,39,22,36,1.901652307761793e+58,98.92143893241882,48.625485,61.160092
17,23,3,25,44,39,44,0.0,76.05417370796204,11.996941,24.076233
17,27,15,30,39,42,29,1.897703595525296e+58,97.87126135826111,49.209939,61.72519
24,19,36,15,32,48,33,1.8975103417668703e+58,96.60649371147156,47.247163,59.827694
21,19,40,22,42,8,50,1.8949959208849057e+58,96.54130911827087,49.208286,61.723537
15,27,19,46,28,32,22,1.9013963406878104e+58,95.88368105888367,49.20844,61.723691
38,8,20,23,20,5,35,2.0544545074387485e+58,96.10072493553162,47.244426,59.835379
4,4,24,39,47,26,37,2.0637141634482788e+58,96.1853621006012,49.210617,61.725868
16,10,40,30,14,46,34,0.0,76.87130832672119,11.99467,24.073962
44,48,40,29,38,6,13,1.8942445013558646e+58,98.93969774246216,49.204238,61.719409
4,10,17,22,25,46,24,0.0,75.83446025848389,11.993726,24.073018
39,25,14,18,43,23,37,1.903328363866876e+58,98.502450466156,49.21029,61.725541
17,30,36,8,52,17,7,2.257223194642448e+58,98.01101040840149,47.251537,59.832068
14,46,39,41,45,46,21,1.902022160141652e+58,96.48961758613586,49.209395,61.724422
5,32,26,7,16,37,25,5.87012028714177e+57,98.83121347427368,49.207638,61.72289
46,10,31,21,32,43,44,0.0,76.49501895904541,12.001159,24.080451
20,49,30,48,4,32,37,1.744932724851134e+58,96.74199056625366,49.210258,61.725509
43,44,39,44,45,33,22,1.901651878925184e+58,97.25330829620361,48.620792,61.155183
20,51,6,32,39,5,4,3.440219569351444e+57,96.32162690162659,47.244911,59.629539
10,31,28,33,45,29,40,0.0,77.01411533355713,11.997591,24.076883
47,14,6,52,4,46,26,3.4465408836752224e+57,96.91290783882141,46.960115,59.354405
46,18,29,22,25,50,26,1.9016952663969294e+58,98.82503938674927,49.205655,61.720996
3,9,11,17,50,51,37,0.0,75.65580821037292,11.99714,24.076232
22,52,37,41,20,19,48,1.9016472281769e+58,98.09197878837585,49.189422,61.705489
23,24,24,41,45,29,35,1.9016567878550264e+58,97.09659790992737,48.545002,61.082107
28,42,34,19,12,48,15,1.9019657293453076e+58,98.13684511184692,49.208826,61.724077
40,47,17,31,34,5,41,2.0544565938608402e+58,98.3098816871643,47.246301,59.826744
20,10,37,50,35,14,9,0.0,75.94705367088318,11.995434,24.074726
3,14,11,42,31,41,4,0.0,76.45205783843994,11.998965,24.078257
33,10,52,38,40,6,40,0.0,76.13567471504211,11.998966,24.078258
11,48,36,10,22,4,41,0.0,76.10760450363159,11.997141,24.076433
