var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
4,42,35,28,0.00667731320326925,756.7276447,14.309817,23.287472
25,35,18,21,480000.0,799.680701,39.286784,47.432964
43,44,25,31,282.0,778.962568,39.315798,47.461136
6,22,20,51,0.00043549767485217866,775.9446738,19.789932,28.587106
14,44,46,36,6640000.0,791.3706565,36.691508,44.924329
16,19,12,50,18300000000.0,774.4823844,32.737582,41.101803
26,23,46,34,0.733,768.4355311,39.316813,47.461985
14,28,50,15,8540000.0,784.0280211,36.691613,44.924597
35,24,45,30,0.0487,770.8405371,39.315011,47.460239
14,44,22,32,66800000.0,790.9587028,36.691031,44.923869
46,16,13,12,855000000.0,780.6859314,34.714466,43.012798
13,44,5,46,0.0366085943611441,770.6163089,17.835847,26.695678
23,52,47,48,25.4,773.7274001,39.295388,47.440769
16,7,44,18,28900000000.0,761.2901378,38.80632,46.967687
24,43,26,33,235.0,768.8423159,39.314197,47.45955
41,39,19,8,10500000000.0,784.1769705,33.852659,42.179957
14,8,20,44,841000000.0,788.5935233,36.689822,44.92309
8,27,12,6,0.00035250152015056966,752.7676382,24.515659,33.153179
16,45,8,20,0.0004830896218867906,769.7327464,24.511258,33.150325
34,30,31,8,10500000000.0,780.3091853,33.845565,42.172853
7,44,44,32,0.0001112038098038709,764.1176438,22.314745,31.026638
24,9,7,23,0.002045916750614688,757.2428122,22.209568,30.923897
46,24,31,47,0.472,775.2249072,39.304402,47.449699
29,17,26,36,284000.0,788.9424589,39.316652,47.461928
29,48,52,43,0.00631,768.0320945,39.298256,47.443501
14,7,40,10,27600000000.0,764.6808803,36.688805,44.921815
31,20,26,5,0.0005064242007053186,771.6713881,27.768448,36.2985
13,43,17,42,36300000.0,790.7364001,34.711018,43.009247
23,33,40,20,963.0,772.0728769,39.291458,47.436959
6,33,34,49,0.00043551353758223096,750.1101677,19.770616,28.567803
46,6,28,21,253000000000.0,801.4319811,39.315115,47.460464
19,10,13,6,0.00020468294707929517,661.9603651,29.883611,38.342562
8,15,23,23,281000000000.0,632.9535868,24.595624,33.231801
8,22,27,48,280000000000.0,651.183841,24.595722,33.231928
30,44,10,7,78700000000.0,655.7615719,28.707939,37.206405
17,33,11,30,7220000000.0,646.147222,30.74299,39.173742
7,34,40,33,0.0001112038098038709,632.035006,22.328589,31.040482
34,23,9,17,0.0001227534728125778,633.0524845,26.661825,35.228369
43,45,22,32,17800.0,664.319211,39.31626,47.461486
11,33,52,9,914000000.0,638.1127546,30.735602,39.16751
51,5,51,22,28900000000.0,640.8287218,39.316075,47.46145
18,33,20,40,94700.0,631.2630062,39.284938,47.431043
40,47,6,47,0.00884108909743404,620.8611016,19.90028,28.69071
8,23,12,13,40200000000.0,639.0500665,24.595987,33.23177
18,5,14,7,70100000000.0,653.1763835,31.857539,40.25136
40,11,17,48,272000000.0,651.2290227,39.176477,47.326589
5,7,28,22,0.0017469368186278447,611.5560048,16.921798,25.814002
28,15,13,47,470000000.0,630.8872561,34.722465,43.020988
28,37,11,44,7220000000.0,618.0650105,30.743159,39.173987
8,16,26,6,0.000350700253541526,625.8304148,24.534398,33.17167
52,44,30,23,21.5,618.0566018,39.314663,47.459756
10,16,41,33,1720000000.0,549.9094517,28.759852,37.256878
36,27,5,14,0.0366085943611441,567.0897148,17.846445,26.70626
38,26,48,28,0.00567,569.0221481,39.316112,47.461319
46,5,44,34,28900000000.0,567.2371423,39.315054,47.460251
36,39,12,8,9590000000.0,567.5889359,32.764356,41.128166
33,23,11,44,7220000000.0,541.8338358,30.743002,39.17383
16,8,28,5,0.0011847168809685726,547.6280594,27.787453,36.316204
28,37,39,6,0.00015943325764414864,562.3719165,29.880281,38.340586
22,17,13,42,450000000.0,561.9986506,34.722849,43.021229
44,17,41,33,286000.0,552.5297344,39.315435,47.460719
13,38,38,40,265000000.0,571.4051802,34.722926,43.020869
20,8,20,33,832000000.0,559.5804174,39.295698,47.441451
49,47,6,52,0.00884108909743404,559.8042448,19.900092,28.690522
51,32,19,46,1100000.0,552.8885581,39.287668,47.433712
7,52,43,46,0.0001112038098038709,561.1532321,22.328402,31.040295
51,48,52,45,5.28e-13,561.9617875,39.315,47.460152
50,30,28,9,4210000000.0,570.0386422,35.814169,44.075748
39,35,38,38,5.74e-07,560.8053184,39.3166,47.461751
48,47,31,38,0.00676,573.8100152,39.315735,47.461137
15,22,46,21,17000000.0,561.0813968,38.111398,46.296667
29,19,27,42,13900.0,607.6449254,39.312398,47.457685
43,40,27,51,1.7,595.5580556,39.303092,47.448392
