var_0,var_1,var_2,var_3,error,time,memory_mean,memory_peak
47,38,43,45,6.77091125711124e-25,75.34992170333862,39.307787,50.476685
35,50,32,23,2.113674785781753e-14,75.25533604621887,39.30855,50.477337
17,38,40,47,1.0698860966586787e-10,75.24874687194824,39.171685,50.344965
9,5,40,29,3.816496023097369e-05,74.14212489128113,26.708115,38.297411
12,46,20,14,1.1651675143150337e-07,74.40531063079834,32.738812,44.126521
46,37,45,14,3.4786051048404462e-09,74.95746946334839,39.280681,50.45083
21,32,41,28,4.1198342383476004e-13,74.68855547904968,39.304298,50.473332
24,31,47,10,1.5779120323898291e-06,75.12365078926086,37.671458,48.895076
28,51,29,23,2.3027753223897182e-14,74.89901924133301,39.308264,50.477081
48,12,16,40,3.241266838128732e-08,75.28497838973999,38.814768,50.000148
42,34,31,37,6.949542041063855e-18,75.05092859268188,39.308237,50.477322
6,51,8,14,0.0016647267392446,74.47046756744385,19.845529,31.662754
42,23,5,33,0.0366085943611441,74.41372489929199,17.838768,29.722273
16,22,39,24,4.2595061150205157e-10,74.97398281097412,38.816514,50.00172
45,37,51,13,1.3755269445457077e-08,74.91053795814514,39.279634,50.449577
45,35,20,28,2.8641982107133788e-11,75.30502033233643,39.290034,50.459505
50,15,8,37,0.0004830896218867,74.93041253089905,24.503894,36.166651
45,32,49,7,4.257168291823929e-05,75.3311231136322,31.83424,43.252393
45,15,47,16,3.83247079311296e-10,74.96124744415283,39.298539,50.467856
17,29,10,9,6.349800808049227e-05,75.02699208259583,28.680193,40.203238
18,11,23,24,2.6131823605433894e-08,75.17102360725403,39.27935,50.449118
20,51,23,32,3.13389104060468e-12,75.74429869651794,39.289095,50.458698
41,31,25,51,2.7525605294615844e-14,75.52472233772278,39.308428,50.477457
4,6,21,17,0.006746754225614,73.59326076507568,14.304984,26.306339
23,46,8,5,0.0014131363279754,74.48881840705872,24.342457,36.009754
32,44,51,5,0.0005064242007053,74.48183608055115,27.770168,39.323919
19,26,38,26,6.524306948620376e-12,73.44624781608582,39.281627,50.451649
23,35,44,9,4.212179754001089e-06,74.8579478263855,35.807987,47.093267
34,32,31,14,3.4786051048404462e-09,75.19197845458984,39.281649,50.451798
51,5,51,15,2.895672227647813e-05,74.61685752868652,39.283185,50.453097
15,32,10,36,3.0364239348924648e-05,74.75456762313843,28.725267,40.247326
9,33,29,45,6.802373440109715e-06,74.34130859375,26.710821,38.299668
30,35,12,35,1.8162112342625215e-06,73.66672134399414,32.730132,44.118114
11,24,51,48,4.317443906373844e-07,74.23580121994019,30.756214,42.209967
35,38,49,16,2.366723706180135e-10,74.9560968875885,39.298122,50.467508
50,21,34,40,1.0323319013634229e-13,75.23896288871765,39.309474,50.478428
10,46,31,11,2.0859751136793325e-06,74.57290768623352,28.756286,40.277313
42,17,49,46,2.859125017413343e-11,74.64339637756348,39.309026,50.478142
52,35,8,45,0.0004830896218867,74.59754061698914,24.504771,36.167512
15,8,43,44,8.397212560356954e-07,74.68902778625488,38.106962,49.316146
49,49,28,36,4.430984418531951e-16,75.74149298667908,39.309694,50.47869
39,45,52,31,1.3428397026527161e-19,75.29376673698425,39.309907,50.478834
37,27,12,35,1.8162112342625215e-06,75.16929984092712,32.730132,44.118114
6,50,52,20,0.0004355135375822,74.08100032806396,19.784816,31.605707
5,30,17,14,0.0017424751963416,74.07837581634521,16.915701,28.83158
9,44,51,34,6.802373440109715e-06,74.41699266433716,26.712013,38.30086
35,38,25,52,2.7690355376324084e-14,75.27421474456787,39.310557,50.479588
6,8,51,50,0.0004398007839465,73.84716033935547,19.779971,31.600792
4,21,15,46,0.0066646547361706,73.94200301170349,14.30224,26.303673
25,52,22,20,2.877469085090456e-12,75.29171395301819,39.310688,50.479688
35,49,43,34,1.4600745590126054e-20,75.00085210800171,39.310691,50.479706
25,11,41,4,0.0020840001060303,74.48284697532654,25.815337,37.434364
36,43,13,16,5.01767878813856e-07,75.65971159934998,34.714354,46.036693
18,35,47,40,2.6490482367106718e-11,74.57828879356384,39.283177,50.452935
30,28,40,40,2.5588416295782133e-18,73.87653470039368,39.305586,50.474625
46,5,52,47,2.8923632378974765e-05,75.00997948646545,39.309966,50.47904
21,35,6,4,0.025377352403779,74.39450907707214,20.427997,32.232962
21,32,51,6,0.0001594332576441,74.63837051391602,29.871514,41.355567
43,52,16,9,4.2612680427907545e-06,74.99514150619507,35.809254,47.09453
23,25,26,43,4.544807626077138e-14,75.17830324172974,39.307867,50.476976
47,18,13,44,4.537548345498487e-07,75.1995141506195,34.716748,46.038812
47,9,21,28,9.541625697740843e-07,75.28390693664551,39.306223,50.475355
23,26,36,43,2.649953482884593e-14,75.46021890640259,39.307632,50.476722
50,25,33,50,1.5971588902194028e-16,74.03994345664978,39.30942,50.478321
28,36,14,36,1.1373719914093425e-07,74.21500754356384,36.68667,47.943244
5,44,30,40,0.0017424751963416,74.45186591148376,16.916908,28.832798
6,30,12,6,0.0005880140556179,73.01499700546265,19.811179,31.631534
25,20,36,42,3.4259362581794413e-13,75.33900618553162,39.307357,50.476258
22,23,6,28,0.008841089097434,74.39598536491394,19.893848,31.708033
25,5,37,11,2.9835162216846128e-05,75.04048013687134,38.597817,49.790739
4,47,32,21,0.0066773132032692,74.13488936424255,14.305498,26.306856
13,11,48,13,9.225862694537195e-08,73.38022470474243,34.719867,46.041553
7,43,23,29,0.0001112038098038,74.72636795043945,22.32406,34.059651
29,51,51,13,1.3755269445457077e-08,75.3394501209259,39.280118,50.450123
