var_0,var_1,var_2,error,time,memory_mean,memory_peak
23,29,24,1.184441816044019e-14,28.926326751708984,6.074717,11.34058
42,39,28,4.388700263663898e-17,28.98482322692871,6.076235,11.342052
6,31,23,4.475075138776909e-14,29.241201400756836,6.075874,11.341706
51,34,11,7.495123531643643e-07,29.260053634643555,3.652999,8.999498
48,36,13,4.7658098278548486e-08,28.673430919647217,4.250385,9.577008
21,24,35,3.1706302206171097e-15,29.096940279006958,6.076078,11.341902
39,9,5,0.0031172396599716,28.818917751312256,2.062164,7.461704
39,47,46,9.681757303874076e-28,29.541001319885254,6.076343,11.342126
42,50,10,3.016127331824935e-06,29.168753147125244,3.355639,8.712107
37,17,51,5.2022536613109975e-11,29.20883584022522,6.076736,11.342565
14,18,32,1.3095289459156108e-11,29.181764841079712,6.077776,11.343479
14,5,37,0.0008512107474885,29.435925722122192,6.07621,11.341995
46,6,51,0.0002154396594549,30.175466060638428,6.079675,11.345443
44,4,25,0.0033111020314442,29.8323392868042,6.078721,11.344491
51,12,30,5.2118027597471156e-08,30.265881538391113,6.077797,11.343635
32,22,14,1.1929456157262672e-08,30.04287600517273,4.553694,9.870333
23,6,4,0.0144738249384332,30.04343843460083,1.978727,7.381029
49,19,18,6.800334881425706e-11,30.149322271347046,5.716874,10.99466
50,32,13,4.7658098278548486e-08,30.097242832183838,4.252889,9.579512
26,32,16,7.404897649836849e-10,30.470412254333496,5.149802,10.446581
23,50,9,1.1998692677200518e-05,29.617544412612915,3.065688,8.431834
52,32,18,4.5980675129926346e-11,30.03465962409973,5.715641,10.993615
42,47,23,4.475075138776909e-14,29.768386363983154,6.077242,11.343075
36,41,4,0.011484236733074,30.053086519241333,1.976527,7.378955
23,9,36,3.4123443568011164e-06,29.975358247756958,6.078465,11.344241
19,51,27,1.7641212516002256e-16,30.062705755233765,6.077544,11.343339
4,46,23,4.475075138776909e-14,30.065680027008057,6.077241,11.343074
26,28,36,1.2231739211788079e-17,30.26929759979248,6.078333,11.344058
45,5,24,0.0008512106273197,30.05206847190857,6.076841,11.342626
44,35,39,8.021228634834361e-22,29.875901222229004,6.077882,11.343626
51,31,35,1.9781899794970088e-19,29.593027591705322,6.079756,11.345497
10,43,7,0.0001927338793342,29.857434511184692,2.505242,7.89012
28,42,19,1.1489300712848272e-11,28.20949077606201,5.913219,11.18434
21,44,8,4.8226162971892046e-05,27.92544174194336,2.770592,8.146196
10,23,42,1.2365544766209863e-14,28.475830554962158,6.07235,11.338167
7,49,5,0.0030071220838267,27.852307081222534,2.058137,7.457606
43,49,32,1.6898120054349552e-19,28.488098859786987,6.06939,11.335053
39,51,16,7.404897649836849e-10,28.57056164741516,5.144484,10.441207
36,34,27,1.7700719354574592e-16,28.19803285598755,6.072227,11.337963
13,30,10,3.016127331824935e-06,28.640069723129272,3.351677,8.708089
48,14,40,3.236454181344144e-09,28.727553367614746,6.072309,11.338091
16,22,34,4.9466671670286424e-14,28.373058795928955,6.069734,11.335367
28,28,21,7.206368746928694e-13,28.362305879592896,6.05944,11.325564
30,29,16,7.404897649836849e-10,28.544463396072388,5.141425,10.438124
6,16,4,0.011484236733074,27.84566903114319,1.968662,7.370954
47,49,29,1.0950379672252509e-17,28.70568585395813,6.072198,11.337938
29,25,33,7.908944895634461e-16,28.67926836013794,6.070147,11.335834
24,31,18,4.5980675129926346e-11,28.102191925048828,5.710311,10.988229
8,20,38,7.974918250042796e-13,29.162177085876465,6.06932,11.335052
37,52,48,6.330944631963432e-29,28.516797304153442,6.069302,11.335056
11,47,21,7.178289651477003e-13,28.419892072677612,6.062509,11.328666
43,45,50,7.301633297302582e-28,28.50515580177307,6.07151,11.337148
34,48,45,2.8139184040730755e-27,28.793602466583252,6.074474,11.340055
14,39,33,4.3842567448388134e-20,29.158573150634766,6.075229,11.340937
46,30,11,7.495123531643643e-07,28.66185212135315,3.647278,8.993777
51,17,24,5.227733328722502e-11,29.449536085128784,6.07331,11.339067
38,48,19,1.1489300712848272e-11,28.83989667892456,5.912013,11.18319
9,16,13,5.105724331169017e-08,28.9310519695282,4.248737,9.575409
48,51,9,1.1998692677200518e-05,29.142518758773804,3.061128,8.427274
40,25,23,5.535799420040978e-14,29.585806369781494,6.074041,11.339618
42,28,27,2.612606169984208e-16,29.569576501846313,6.074683,11.340436
37,27,5,0.0030071220838267,29.360466241836548,2.058947,7.458216
49,7,39,5.418750796372892e-05,29.541314840316772,6.073842,11.339457
48,44,18,4.5980675129926346e-11,29.483201026916504,5.711516,10.989234
48,32,33,9.297297904772608e-20,29.3222439289093,6.074989,11.340462
18,41,47,1.8307224907925487e-25,29.613850116729736,6.075402,11.341131
16,14,39,3.2364541469423236e-09,29.458287000656128,6.074609,11.340197
25,8,12,1.4019340726979048e-05,28.9537410736084,3.948957,9.285534
48,10,30,8.3588108112162e-07,29.36358904838562,6.075053,11.340837
22,22,14,1.1929456157262672e-08,29.228161096572876,4.547087,9.863582
11,12,39,5.211806082516032e-08,29.507049322128296,6.069784,11.335646
52,47,36,6.7769742559495185e-22,29.724878549575806,6.074298,11.339893
45,45,4,0.011484236733074,28.825624704360962,1.972734,7.375162
29,4,18,0.0033110116589932,29.58969497680664,5.713689,10.991171
43,32,51,4.7373850839684766e-20,29.542771816253662,6.074283,11.340118
6,9,48,3.41234435484682e-06,29.223082065582275,6.074439,11.340238
17,35,36,1.4509983218804385e-21,29.54481339454651,6.072362,11.338148
13,40,28,4.388700263663898e-17,29.613035440444946,6.072014,11.337831
8,21,8,4.8226162971892046e-05,29.33450746536255,2.775825,8.151189
15,16,12,1.9445359624507722e-07,29.829132556915283,3.950479,9.287113
31,21,7,0.0001927338793342,29.32428812980652,2.503343,7.887845
51,7,19,5.418707406526372e-05,29.415825605392456,5.917162,11.187717
36,49,10,3.016127331824935e-06,29.508552074432373,3.355088,8.71118
7,27,41,4.9153278769311256e-17,29.834614753723145,6.073643,11.339395
38,30,13,4.7658098278548486e-08,29.773338079452515,4.249497,9.5758
42,23,6,0.0007685882049677,29.79850935935974,2.251592,7.644788
48,40,47,7.314047655580887e-25,29.698546648025513,6.070936,11.336766
29,15,11,7.757015446594403e-07,29.796358585357666,3.652645,8.998768
11,35,50,7.4840035773294675e-22,29.887319326400757,6.075595,11.341086
41,38,18,4.5980675129926346e-11,29.895111799240112,5.713556,10.991154
13,16,39,2.039924648685308e-10,30.073745489120483,6.073927,11.339758
21,33,49,1.212249666133848e-20,29.67068862915039,6.075728,11.341208
44,30,25,2.830158955920636e-15,29.50042176246643,6.074772,11.340544
27,42,44,6.062461940945078e-26,30.010422945022583,6.073188,11.339005
10,8,44,1.3596347311790382e-05,29.83504366874695,6.075428,11.341115
14,38,6,0.0007685882049677,28.89194369316101,2.255572,7.648768
44,18,49,1.3095382139857453e-11,29.669039726257324,6.075248,11.341083
13,27,30,5.734975156943597e-17,29.076223611831665,6.071178,11.336926
23,16,48,2.0399246749193302e-10,29.406233310699463,6.074982,11.340783
19,46,14,1.1836337436275304e-08,29.471649885177612,4.550804,9.867438
48,44,24,1.1448067825875084e-14,29.72980308532715,6.073631,11.339498
