var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
22,11,50,7,26,32,8,8.89467579974749,591.3872643,12.006608,19.895082
51,29,11,20,39,11,24,-17.79131606773641,594.4755878,12.008016,19.89649
34,13,37,18,43,18,38,24.0632713851548,739.4838674,49.20144,61.716793
21,49,27,36,50,25,41,27.865281737042366,742.179939,48.798178,61.327891
20,21,22,42,33,49,26,26.294775483986523,738.0821252,48.90612,61.428783
11,7,34,18,20,30,22,-7.187028366755073,596.8755929,12.008016,19.89649
27,7,51,19,41,44,13,15.488780855118431,758.8678672,49.218336,61.733689
36,21,37,32,44,24,32,32.445567465650875,746.346843,48.598224,61.131031
46,23,36,8,38,21,31,14.77940197597459,762.8177707,47.248672,59.829305
49,9,5,5,50,28,26,-7.181700254688066,595.2729061,12.008016,19.89649
47,12,16,40,26,42,44,2.7180752095956686,772.4660852,48.683972,61.219515
51,40,18,25,29,26,47,24.099972506228063,758.5706112,47.259936,59.840569
37,20,15,19,29,45,14,16.32685351758108,742.6215904,49.218336,61.733689
45,46,43,32,12,46,45,-8.283967640558757,750.5309372,49.218336,61.733689
8,19,12,32,38,17,5,-7.959149979694491,739.6069355,49.197216,61.712569
32,38,23,30,52,40,6,6.193877542713405,747.2351449,47.259936,59.840569
4,23,3,22,13,45,15,4.977726316819335e-05,601.8134573,12.008016,19.89649
36,27,23,4,20,52,52,9.217821051984862,745.082,49.204256,61.523769
11,11,18,46,11,32,34,-8.285005960370105,585.6868887,12.008016,19.89649
49,38,49,12,45,50,37,20.396114760955626,753.5523636,49.218336,61.733689
43,41,52,13,12,52,7,-8.297563152942773,681.0403593,49.220883,61.736236
13,7,3,44,40,40,49,5.0084816150282085e-05,511.4589236,12.013768,19.902074
16,34,4,5,19,28,51,5.0034301195125206e-05,662.2789652,47.254184,59.443137
23,43,44,13,38,29,44,21.78901090693156,660.3720083,49.218336,61.733689
11,39,9,34,52,44,30,-19.395972002213707,521.6278927,11.9922,19.880674
14,16,42,17,27,37,51,3.411221270660611,651.6935031,49.218336,61.733689
45,51,21,5,27,31,48,10.646741692618713,678.4795246,47.250216,59.635009
28,5,16,43,14,35,4,2.1151104724561733,662.8397386,49.218336,61.733689
22,35,25,33,42,50,29,29.203069668179722,654.4957702,48.713337,61.24464
20,15,41,46,17,45,19,22.18674027309011,660.2156584,49.218336,61.733689
25,45,51,5,18,23,45,10.641971724206083,660.8025692,47.259936,59.644729
12,47,41,18,47,30,28,15.410886125354613,732.8001802,47.259936,59.840569
49,29,6,14,36,16,35,-21.189327333125302,733.4480913,47.25588,59.640673
14,45,45,19,34,24,35,3.411221270660611,732.7606153,49.218336,61.733689
52,25,46,43,12,34,6,-8.303482812800917,758.5561817,48.614706,61.149779
7,52,49,17,6,41,39,-21.179638441982018,755.1474571,49.218336,61.733689
43,52,50,41,13,41,44,-7.878520054389991,757.3505886,48.626528,61.161843
16,50,37,36,13,25,45,-8.28398437746668,731.7761624,48.59794,61.129861
22,16,52,35,38,41,26,29.186073051569945,738.0146322,49.212,61.727353
34,32,49,18,25,29,30,28.701721127906985,754.1220379,49.218336,61.733689
24,32,34,22,35,48,16,19.628718616165518,747.5046792,49.218336,61.733689
12,51,50,50,52,21,45,15.412715088617647,726.5507507,49.218379,61.733732
45,42,41,16,36,22,22,25.77539803771925,758.4242213,47.259936,59.840569
49,14,35,14,4,32,51,-21.189677320153695,743.0070364,47.260051,59.840684
22,19,32,39,36,23,18,22.47825050106244,748.2628798,48.585374,61.117295
34,36,44,21,20,6,47,-21.189315118974328,758.0186207,49.217469,61.732822
40,18,50,39,49,45,6,6.193877538036913,735.3626301,49.21751,61.732879
10,48,32,28,38,37,19,2.2989674760239738,587.2086208,12.008016,19.89649
11,45,8,24,28,20,37,-21.11872546718843,589.4396777,12.008016,19.89649
11,52,32,31,18,15,15,-7.187003575552345,577.5528111,11.99816,19.886634
42,13,15,33,46,31,34,19.95677664693173,755.3461215,47.259936,59.840569
9,29,39,20,14,20,8,-8.575677541708595,587.3613055,12.0052,19.893674
51,31,46,15,38,23,7,7.4984851438682245,748.1604173,49.218336,61.733689
36,31,38,4,25,40,49,9.217821051984862,745.1530621,49.200032,61.519545
37,21,9,48,10,39,13,-20.621439023526367,583.1123898,12.008016,19.89649
9,40,37,45,31,39,50,-8.574383821800936,573.6755264,12.008016,19.89649
4,18,30,29,45,37,42,-20.7293953004565,727.0760102,49.207072,61.722425
13,43,33,23,52,19,24,16.807791680657992,733.385457,47.255712,59.836345
51,19,21,6,6,48,8,-20.666877252355043,742.2857642,47.240224,59.625017
44,8,38,47,30,35,14,16.68457854937603,753.7889142,48.614434,61.149751
18,26,33,32,22,28,23,23.69409615261177,728.9448078,47.29424,59.873355
36,26,30,6,13,7,34,-21.191787895858987,737.796921,47.259936,59.644729
15,48,18,35,47,20,23,19.511684825937593,718.694375,49.218336,61.733689
40,10,28,49,44,18,38,24.121003622494918,577.5651164,12.008016,19.89649
35,11,27,8,49,37,23,14.780820840310582,583.6397364,11.986896,19.89649
29,30,45,18,30,19,50,25.363790666447155,737.0331743,49.218336,61.733689
17,13,36,30,4,29,48,-21.189673403050413,733.5589242,47.259936,59.840569
5,44,15,37,42,42,4,-19.387827434404358,724.6111646,49.218336,61.733689
36,21,51,12,17,34,45,20.23604918970367,749.8939819,49.211296,61.726649
15,42,19,51,45,31,24,19.563111788983296,726.0632696,49.216806,61.732159
23,52,36,38,8,34,24,-9.38272204266827,732.8459368,47.259936,59.840569
52,5,37,51,50,4,22,5.008094358147234e-05,755.7935846,48.051042,60.605281
11,3,3,27,23,27,7,4.707415340862471e-05,573.8677146,11.991824,19.880298
34,11,20,52,22,23,8,8.909818877291288,586.3643155,12.008016,19.89649
24,49,45,21,24,36,33,30.652944951318563,728.5574236,47.85599,60.416595
35,5,34,17,45,39,37,24.801052256891484,753.2657998,49.209184,61.724537
13,27,6,8,4,7,47,-21.190401669206533,735.9347982,49.218336,61.733689
9,3,29,27,6,32,5,-21.10856897492599,594.1029425,12.008016,19.89649
3,20,41,4,24,52,28,-6.907755278982137,582.5926943,12.005904,19.894378
13,42,6,38,7,46,43,-21.189449303768964,728.3224785,47.242336,59.627129
18,18,40,5,22,6,14,-21.194982046287553,745.2542548,47.259936,59.644729
23,4,13,39,42,44,45,-8.284170123897978,737.9845848,49.218336,61.733689
7,31,21,37,35,19,43,-8.57854450699963,740.1344409,49.207776,61.723129
41,33,47,28,13,49,26,-7.878520041717605,745.5643659,48.59794,61.129861
8,14,43,41,23,26,18,-7.8919468476141965,733.0885811,47.256416,59.837049
34,47,34,36,25,36,14,16.684489107010158,733.4591231,47.818388,60.383555
11,4,12,42,34,11,4,-17.77616954931924,591.7560167,11.989008,19.877482
18,52,23,50,52,20,14,16.674568331301327,730.8548095,47.259936,59.840569
6,24,25,22,36,39,5,-18.46985945792884,732.0353291,49.218336,61.733689
15,18,20,29,42,35,5,4.767958155590027,745.821022,49.206368,61.721721
42,41,20,31,48,35,50,26.869616329446718,827.120697,49.220883,61.736236
45,8,43,13,33,31,43,21.790509709884024,755.1391108,49.224088,61.739441
5,11,24,29,39,22,14,-19.387828239212855,594.3511977,12.008016,19.89649
40,9,13,40,13,5,38,0.18620046436938417,657.5163391,11.9922,19.880674
43,14,43,35,4,30,13,-21.18987879933671,837.7339687,48.71019,61.246423
9,51,26,42,42,28,51,-8.574383821800936,702.9062097,11.998296,19.88677
