var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
4,18,30,29,45,37,42,1006148287.1114212,81.9813141822815,49.221603,61.736746
13,43,33,23,52,19,24,5.017285564690532e-08,81.53693318367004,47.2632,59.843623
51,19,21,6,6,48,8,945171785.3296587,83.9781801700592,47.25984,59.644422
44,8,38,47,30,35,14,5.6751795099493736e-08,83.34827971458435,48.617697,61.152803
18,26,33,32,22,28,23,5.1260730069641396e-11,82.12922883033752,47.310173,59.889078
36,26,30,6,13,7,34,1597631242.640555,82.60727739334106,47.263199,59.647782
15,48,18,35,47,20,23,3.3587907420903393e-09,81.22729873657227,49.209795,61.724937
40,10,28,49,44,18,38,3.344885291411541e-11,66.85654306411743,12.011287,19.89955
35,11,27,8,49,37,23,3.808650057159257e-07,66.58500695228577,12.00656,19.894823
29,30,45,18,30,19,50,9.652630312768037e-12,81.68207955360413,49.201585,61.716728
17,13,36,30,4,29,48,1594256631.9196327,81.58984422683716,47.263312,59.843734
5,44,15,37,42,42,4,263042831.52832958,83.25635933876038,49.215975,61.731118
36,21,51,12,17,34,45,1.6277792250615e-09,81.63621068000793,49.221595,61.736738
15,42,19,51,45,31,24,3.1904247166915796e-09,81.52144575119019,49.220076,61.735219
23,52,36,38,8,34,24,11881.312215515023,81.55141830444336,47.256156,59.836579
52,5,37,51,50,4,22,0.999949920310448,84.36488747596741,48.054305,60.608334
11,3,3,27,23,27,7,0.9999529269545621,65.78067994117737,12.011284,19.899547
34,11,20,52,22,23,8,0.00013505629353536975,67.06691837310791,12.011278,19.899542
24,49,45,21,24,36,33,4.8707423103300425e-14,81.89457321166992,47.843053,60.403448
35,5,34,17,45,39,37,1.6944933134789943e-11,82.01139903068542,49.2216,61.736743
13,27,6,8,4,7,47,1595418097.945696,81.34802198410034,49.221596,61.736738
9,3,29,27,6,32,5,1470059884.8874958,66.18110942840576,12.002127,19.890391
3,20,41,4,24,52,28,1000.0,67.4223256111145,12.01128,19.899543
13,42,6,38,7,46,43,1593899400.1831603,81.49447631835938,47.261088,59.64567
18,18,40,5,22,6,14,1602742475.8371265,82.95372343063354,47.263195,59.647777
23,4,13,39,42,44,45,3960.6765035902336,81.16550660133362,49.204003,61.719146
7,31,21,37,35,19,43,5316.361963699491,81.06631255149841,49.221599,61.736742
41,33,47,28,13,49,26,2639.96263258838,82.84844851493835,48.6012,61.13291
8,14,43,41,23,26,18,2675.647932117556,81.50061321258545,47.263198,59.84362
34,47,34,36,25,36,14,5.675687134132703e-08,81.03679871559143,47.821654,60.38661
11,4,12,42,34,11,4,52491906.266217604,65.90769529342651,12.00776,19.896024
18,52,23,50,52,20,14,5.732274584767683e-08,81.8506965637207,47.263196,59.843619
6,24,25,22,36,39,5,105040805.65674129,81.53725242614746,49.202589,61.717731
15,18,20,29,42,35,5,0.00849771346671307,81.21416330337524,49.221599,61.736741
42,41,20,31,48,35,50,2.141282152878051e-12,82.51385354995728,49.20963,61.724772
45,8,43,13,33,31,43,3.439551964607911e-10,81.5729627609253,49.221592,61.736734
5,11,24,29,39,22,14,263043043.22752067,66.58671021461487,12.006354,19.894617
40,9,13,40,13,5,38,0.8301071713908558,65.46295762062073,12.011276,19.89954
43,14,43,35,4,30,13,1594584119.9424946,83.01449847221375,48.713456,61.249478
9,51,26,42,42,28,51,5294.288207984334,66.96735620498657,12.01128,19.899544
30,25,11,29,42,20,41,53293041.97549449,66.54110193252563,11.997904,19.886167
15,39,12,30,30,4,12,0.9999499302859332,80.91610717773438,49.221599,61.736741
24,7,24,38,8,26,30,11881.312172083659,81.94448256492615,47.263202,59.843625
12,18,3,9,10,6,6,0.999970844661782,65.75447463989258,12.004941,19.893204
11,42,40,34,11,44,50,3966.2106670788876,66.90428471565247,12.011278,19.899542
