var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
13,4,28,45,39,26,41,16.81803185909672,82.04515052,49.221668,61.73681
8,31,39,46,19,40,43,-7.8919468476141965,81.62631679,47.254817,59.835241
44,47,11,42,23,8,4,-21.10824583437959,66.79209733,12.011352,19.899615
31,8,24,48,37,32,50,29.062056499398913,81.94504023,49.22026,61.735402
17,41,12,46,36,51,31,2.7180713955491522,81.50732255,47.26327,59.843692
40,45,32,34,37,35,6,6.193877535937882,83.45814753,49.20477,61.719912
14,47,44,17,33,21,15,3.4112203001373134,81.81394839,49.221665,61.736807
39,35,39,13,48,4,40,5.008087341685936e-05,82.63959098,49.221666,61.736808
33,37,15,44,40,20,7,7.493612344466361,81.03722787,49.140342,61.657702
51,40,52,6,18,17,37,3.4110344961772965,83.45624542,47.263271,59.647853
9,11,28,27,20,3,5,2.91374048126428e-05,68.15396166,12.008529,19.896792
35,5,9,15,51,11,22,-20.678503322926144,66.61381745,12.011348,19.899611
14,25,32,37,24,47,48,3.411221271447909,80.91291332,49.221662,61.736806
6,7,8,35,6,50,7,-21.180795994058144,81.0907197,47.263266,59.843689
10,14,11,27,33,5,27,0.17899068364103776,66.91421199,12.000082,19.888346
41,18,35,6,37,49,5,4.759255930856226,83.24426389,47.263262,59.647844
9,51,28,5,3,9,23,-21.19498417120973,68.05978394,12.011343,19.899606
3,50,3,23,15,18,48,-6.907755278982137,66.65352416,12.011347,19.89961
35,10,49,35,48,43,25,30.296881812265514,64.57994556,11.99163,19.879894
13,16,32,26,41,25,42,16.816358377057618,81.02464938,47.263271,59.843694
49,18,13,33,27,24,41,-8.284167761345108,82.57457495,49.221667,61.736809
21,47,52,46,35,6,42,-21.18931675251047,82.65737844,49.208996,61.724138
13,29,23,14,8,17,47,-17.79190650576135,82.81569004,49.221658,61.736803
34,18,34,31,49,28,52,37.97442851252407,82.51494527,48.67308,61.209028
16,48,24,18,7,31,15,-19.58284350876401,81.83765054,49.216038,61.731181
30,24,37,35,14,52,32,2.7180752919199413,81.12394142,49.200542,61.715684
