var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
40,49,18,45,49,14,26,-7.185461414959801,95.54329419136047,48.626326,61.161245
39,21,22,51,35,22,25,29.37790238526589,95.63294887542725,48.624831,61.159392
29,8,25,19,45,7,18,-21.18932750228816,95.69034194946288,49.208968,61.724219
13,31,24,41,34,33,12,14.028714652369919,95.0154435634613,47.251538,59.832069
26,51,6,33,7,35,13,-21.189408445168624,95.5315248966217,47.247424,59.632004
8,31,19,14,45,38,20,-7.8919468476141965,94.90650463104248,49.210257,61.725508
6,12,25,18,46,19,14,-18.469847975456226,95.43369317054749,49.203713,61.718892
51,16,45,50,34,44,32,39.96416864999564,97.30530858039856,48.618998,61.153945
36,14,49,47,30,4,30,5.0080888263949274e-05,94.65570211410522,49.209937,61.725188
49,52,43,8,28,37,47,14.780820840310582,95.73326325416564,47.247053,59.827584
5,7,4,4,52,20,15,5.09841195639314e-05,96.89037680625916,47.25087,59.439501
27,41,45,24,16,35,31,21.863188326530587,96.36016750335692,49.210258,61.725509
14,40,8,19,35,35,25,-21.120424524153833,95.58852815628052,49.207004,61.722255
21,39,13,30,35,12,15,2.718070957217775,95.87935996055604,49.20965,61.724901
25,18,10,35,7,21,48,-18.886787975794604,74.51418614387512,11.999421,24.078713
43,34,38,43,37,19,24,25.490371974928465,92.18187355995178,48.624415,61.158844
3,28,25,40,36,7,17,-6.907755278982137,74.37558197975159,11.997589,24.076881
4,33,47,38,45,30,16,-20.7293953004565,94.47137475013731,49.211994,61.726733
21,20,34,25,25,45,45,27.87814295583852,95.80054044723512,48.975998,61.500897
25,8,27,6,6,46,4,-20.666877463057382,95.29307079315186,47.251217,59.635909
23,42,34,20,8,32,29,-9.382722335348982,95.0979175567627,49.203877,61.719128
42,34,37,19,22,50,19,23.553665438409492,95.44600868225098,49.208971,61.724222
39,40,28,50,31,43,39,37.81238389038292,95.51338696479796,48.628901,61.16367
46,40,20,50,26,22,19,23.13520841463022,95.9376928806305,48.623798,61.158359
15,43,30,27,46,23,18,19.398272265483765,95.10824418067932,49.209651,61.724902
9,23,50,12,30,44,31,-8.574383821800936,74.5365002155304,11.993462,24.072754
20,36,29,51,27,46,18,22.452652501504666,95.62350988388062,48.046903,60.596564
40,22,18,31,15,24,41,20.647416378544236,95.48174214363098,47.250995,59.831526
35,46,35,28,12,25,31,-8.283967632020179,95.24519896507265,47.252685,59.83285
23,34,34,43,23,7,5,-21.177236888740424,94.65269160270692,49.207963,61.723214
3,42,38,41,20,10,25,-6.907755278982137,74.69501876831055,11.99759,24.076882
52,31,24,45,24,24,49,31.511171819229517,97.49935722351074,48.626031,61.160726
13,23,51,43,36,6,19,-21.18944771724816,94.9052095413208,49.206331,61.721582
48,42,32,37,18,13,28,-8.284160700519369,96.69906854629517,48.568483,61.106226
17,37,15,41,6,13,36,-20.734816218175688,95.39910340309144,47.245995,59.826526
17,19,40,34,12,19,48,-8.283956064223247,94.63121390342712,47.246963,59.827494
37,35,4,41,30,37,30,5.008088826772422e-05,95.62848663330078,48.497152,60.840359
23,3,5,3,6,11,47,-6.907755278982137,74.14153909683228,11.998963,24.078255
36,22,17,23,31,41,45,3.4112224279307077,96.15533566474916,49.152052,61.667303
51,7,27,37,36,20,49,26.687804553591786,96.47668647766112,49.209938,61.725189
15,42,34,38,24,52,21,19.58048847871767,94.69149661064148,49.204395,61.719646
29,38,45,49,7,5,40,0.3631898245232163,101.5497829914093,49.209169,61.72442
34,31,46,15,28,12,48,2.718071547685335,99.93605709075928,47.251859,59.83239
5,52,40,34,51,45,46,-19.387828284253416,95.1518621444702,47.247821,59.828352
8,34,24,45,49,50,14,-7.891758341938279,94.9073257446289,47.250994,59.831525
25,29,41,8,49,44,35,14.780820840310582,95.66843628883362,47.252218,59.832749
31,23,15,37,17,47,33,19.587846174177887,95.22776651382446,49.205443,61.720694
32,33,36,48,7,12,27,-19.582841332375114,94.7323579788208,49.184846,61.700097
43,20,31,24,15,50,35,20.79518134806015,95.7793231010437,49.203823,61.719074
48,5,25,24,43,5,18,0.1861975271385967,95.65547513961792,49.208969,61.72422
8,32,43,23,42,6,42,-21.178582363654318,94.41870093345642,47.251537,59.832068
48,30,25,7,45,26,25,13.452042499191101,96.01089477539062,49.205549,61.720801
37,20,13,30,6,26,44,-20.73487284121331,96.984308719635,49.209394,61.724645
30,14,28,22,50,27,5,4.767968004179538,103.119211435318,49.203477,61.718728
6,44,19,34,4,40,38,-21.182526858799037,99.55138897895812,47.250569,59.8311
24,6,37,6,15,22,30,12.043068022892859,99.49914503097534,47.251307,59.635999
